1. Rudagatan 51, (64.73076905004987, 21.062869127380175)
2. Rudagatan 41, (64.73109609499264, 21.065514656793624)
3. Rudagatan 69, (64.72923223634149, 21.063728215696155)
4. Rudagatan 32, (64.72866685877797, 21.064897182564128)
5. Rudagatan 13, (64.7290092981411, 21.067118011399394)
6. Rudagatan 18, (64.72822387894983, 21.066092511399347)
7. Fodergränd 14, (64.72773447936372, 21.072368011399337)
8. Falmyrvägen 58, (64.72731282540025, 21.07195383043295)
9. Falmyrvägen 36, (64.72670664836734, 21.07051343348726)
10. Bodgatan 13, (64.7265964581201, 21.072385769069605)
11. Bodgatan 12, (64.7261497872578, 21.075216244531216)
12. Bodgatan 57, (64.72666003048779, 21.076391082020365)
13. Diktorpsvägen 14, (64.72742231880282, 21.07853091139931)
14. Tröskargatan 12, (64.72569273438936, 21.08245052745085)
15. Getargatan 13, (64.72515988986189, 21.081590156187488)
16. Johansgatan 27, (64.72402676388035, 21.080091374591447)
17. Johansgatan 30, (64.72349659124149, 21.08005178624251)
18. Omvägen 11, (64.722700477568, 21.076038097904636)
19. Holmgatan 22, (64.72178804029595, 21.078316140234115)
20. Bergsbyvägen 19, (64.72253627756791, 21.081495540234208)
21. Nybyggargatan 12, (64.72279765876095, 21.096477997904646)
22. Nybyggargatan 13, (64.7221138654314, 21.096186911398974)
23. Nybyggargatan 6B, (64.71991329588566, 21.094155711398862)
24. Roddargatan 12, (64.71749269547423, 21.09246261139871)
25. Holmgatan 68, (64.7173241596842, 21.094878711398668)
26. Roddargatan 17, (64.7169136063257, 21.09606822673948)
27. Lillgatan 4, (64.71611465988815, 21.09484154023385)
28. Lillgatan 7A, (64.71565457756343, 21.0969892402338)
29. Roddargatan 29, (64.7158097128137, 21.098717311398616)
30. Häradsvägen 10, (64.71713425971625, 21.101965111398684)
31. Furubacksvägen 14, (64.71909071397879, 21.127536711398793)
32. Stapelvägen 1, (64.71962629489985, 21.131110155574795)
33. Furunäsgatan 7, (64.7186588232489, 21.13214785372836)
34. Skelleftehamnsvägen 19, (64.7198847226269, 21.132460253728414)
35. Stapelvägen 48B, (64.71609775989108, 21.151176282563405)
36. Skelleftehamnsvägen 80, (64.7163138775638, 21.15327989790421)
37. Måbärsgatan 12, (64.71651135982128, 21.15559144023381)
38. Karagangatan 30, (64.71678347084324, 21.15778882489306)
39. Måbärsgatan 9, (64.71710435972129, 21.156185624893038)
40. Karagangatan 7, (64.71669937756415, 21.16159071139863)
41. Skelleftehamnsvägen 113, (64.7145646253258, 21.16073439790411)
42. Mekanvägen 47, (64.71201517568417, 21.155399840233578)
43. Vänskapsgatan 8, (64.71178003179648, 21.170122651277527)
44. Vänskapsgatan 4, (64.71183961148486, 21.17002340955187)
45. Vänskapsgatan 46, (64.71169334436578, 21.171395753185102)
46. Sandgärdsvägen 18, (64.71164846064151, 21.18215468256316)
47. Sandgärdsvägen 33, (64.71030057755999, 21.18197034023344)
48. Skyttevägen 26, (64.71088739435167, 21.17858971139829)
49. Svänggatan 7, (64.71132666069575, 21.1757069537279)
50. Brödrahemsgatan 16, (64.71090737756037, 21.17480491139828)
51. Skyttevägen 3, (64.70942679485121, 21.17345478256298)
52. Skelleftehamnsvägen 148, (64.70741716135515, 21.17548891139809)
53. Redargatan 11, (64.70674759364812, 21.18053518256285)
54. Redargatan 14, (64.70605796158435, 21.180770669068398)
55. Skelleftehamnsvägen 165, (64.70554876167026, 21.180539269068337)
56. Riobacken 10, (64.70504266175563, 21.178115140233167)
57. Örlogsgatan 28, (64.70277797755517, 21.18806254023302)
58. Sjökortsgatan 28, (64.70220254691527, 21.191011411397724)
59. Lotsens gränd 5, (64.69594034903153, 21.190897069067788)
60. Alderholmsvägen 30, (64.6949387916413, 21.189652311397285)
61. Skelleftehamnsvägen 205, (64.6956845633339, 21.198373724891763)
62. Vågens gränd 2, (64.69386766364026, 21.195669282562054)
63. Södra Sillskatan 510, (64.72975809755901, 21.220638097905063)
64. Södra Sillskatan 507, (64.7293976576477, 21.218315169069843)
65. HARRBÄCKSSAND 152, (64.72430178226789, 21.227400740234213)
66. Södra Sillskatan 632, (64.72482105841966, 21.225014140234336)
67. Styrmansgatan 9, (64.70799259606436, 21.178082469068517)
68. Spånvägen 10, (64.71441790801433, 21.1385737979041)
69. Bokgränd 7, (64.71491237756301, 21.158029382563345)
70. Hagtornsgatan 39, (64.719327050046, 21.15099431139883)
